Long-term drift test started. Press Ctrl+C to stop.
TSC available: true

     sec       static(ns)       online(ns)   st_std(ns)   on_std(ns)     st_drift       st_ppm     on_drift       on_ppm
------------------------------------------------------------------------------------------------------------------------
       1       1000105856       1000106710   1000105947   1000106468          -91    -0.090990          242     0.241974
       2       2000330675       2000331570   2000330857   2000331038         -182    -0.090985          532     0.265956
       3       3000446059       3000446341   3000446344   3000446585         -285    -0.094986         -244    -0.081321
       4       4000604965       4000605284   4000605360   4000605491         -395    -0.098735         -207    -0.051742
       5       5000717134       5000718125   5000717618   5000717869         -484    -0.096786          256     0.051193
       6       6000844921       6000846030   6000845516   6000845777         -595    -0.099153          253     0.042161
       7       7000998968       7001003505   7000999665   7001001048         -697    -0.099557         2457     0.350950
       8       8001165167       8001164489   8001165964   8001166114         -797    -0.099610        -1625    -0.203095
       9       9001278508       9001278628   9001279405   9001279546         -897    -0.099653         -918    -0.101986
      10      10001384796      10001384959  10001385793  10001385924         -997    -0.099686         -965    -0.096487
      11      11001731722      11001732192  11001732820  11001732951        -1098    -0.099802         -759    -0.068989
      12      12001855823      12001856752  12001857023  12001857184        -1200    -0.099985         -432    -0.035994
      13      13001955208      13001956271  13001956507  13001956647        -1299    -0.099908         -376    -0.028919
      14      14002060113      14002062069  14002061515  14002061675        -1402    -0.100128          394     0.028139
      15      15002165158      15002166441  15002166652  15002166802        -1494    -0.099586         -361    -0.024063
      16      16002260635      16002262501  16002262241  16002262381        -1606    -0.100361          120     0.007499
      17      17002380568      17002388061  17002382265  17002382796        -1697    -0.099810         5265     0.309662
      18      18002507515      18002506621  18002509312  18002509442        -1797    -0.099819        -2821    -0.156700
      19      19002608663      19002609693  19002610562  19002610702        -1899    -0.099934        -1009    -0.053098
      20      20002710782      20002711708  20002712782  20002712942        -2000    -0.099986        -1234    -0.061692
      21      21002818853      21002820201  21002820954  21002821104        -2101    -0.100034         -903    -0.042994
      22      22003240248      22003242007  22003242451  22003242781        -2203    -0.100122         -774    -0.035177
      23      23003354872      23003359610  23003357175  23003357505        -2303    -0.100116         2105     0.091508
      24      24003487148      24003488048  24003489552  24003489682        -2404    -0.100152        -1634    -0.068073
      25      25003588085      25003589781  25003590593  25003590723        -2508    -0.100306         -942    -0.037675
      26      26003704562      26003709197  26003707171  26003707562        -2609    -0.100332         1635     0.062876
      27      27003838902      27003840931  27003841611  27003841761        -2709    -0.100319         -830    -0.030736
      28      28003962181      28003966269  28003964990  28003965180        -2809    -0.100307         1089     0.038887
      29      29004073097      29004076031  29004076017  29004076188        -2920    -0.100676         -157    -0.005413
      30      30004154789      30004157459  30004157821  30004157931        -3032    -0.101053         -472    -0.015731
      31      31004240919      31004242585  31004244039  31004244170        -3120    -0.100631        -1585    -0.051122
      32      32004341827      32004344672  32004345039  32004345179        -3212    -0.100361         -507    -0.015842
      33      33004429430      33004433319  33004432751  33004432911        -3321    -0.100623          408     0.012362
      34      34004536549      34004539237  34004539960  34004540101        -3411    -0.100310         -864    -0.025408
      35      35004624071      35004625751  35004627592  35004627722        -3521    -0.100587        -1971    -0.056307
      36      36004710372      36004714293  36004713993  36004714133        -3621    -0.100570          160     0.004444
      37      37004817711      37004824872  37004821426  37004821576        -3715    -0.100392         3296     0.089069
      38      38004902729      38004908590  38004906544  38004906734        -3815    -0.100382         1856     0.048836
      39      39005000651      39005006807  39005004556  39005005067        -3905    -0.100115         1740     0.044610
      40      40005137115      40005142240  40005141143  40005141324        -4028    -0.100687          916     0.022897
      41      41005206634      41005207879  41005210754  41005211054        -4120    -0.100475        -3175    -0.077429
      42      42005322209      42005333489  42005326428  42005326919        -4219    -0.100440         6570     0.156409
      43      43005974825      43005974704  43005979147  43005979277        -4322    -0.100498        -4573    -0.106334
      44      44006079891      44006089636  44006084324  44006084505        -4433    -0.100736         5131     0.116598
      45      45006213529      45006213005  45006218064  45006218204        -4535    -0.100764        -5199    -0.115517
      46      46006319356      46006320940  46006323990  46006324230        -4634    -0.100725        -3290    -0.071512
      47      47006433228      47006443292  47006437963  47006438314        -4735    -0.100731         4978     0.105900
      48      48006566385      48006576042  48006571222  48006571463        -4837    -0.100757         4579     0.095383
      49      49006705164      49006700913  49006710092  49006710473        -4928    -0.100558        -9560    -0.195075
      50      50006837019      50006839869  50006842049  50006842240        -5030    -0.100586        -2371    -0.047414
      51      51007689257      51007692678  51007694401  51007694551        -5144    -0.100848        -1873    -0.036720
      52      52007817786      52007828878  52007823030  52007823330        -5244    -0.100831         5548     0.106676
      53      53007936277      53007938460  53007941621  53007941761        -5344    -0.100815        -3301    -0.062274
